ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,OID
1084916-999-258,1,4,2022,1,7,30,11,1,1,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,6,8,18,1,0,0,0,0,0,0,0,0,0,1,0,1,ZACATECO,PAPALOTL,,-102.24454,21.86223808,906
1084916-999-259,1,4,2022,1,22,53,23,6,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,17,0,1,0,0,0,0,0,0,0,0,0,1,2,AGUASCALIENTES - TANQUE DE LOS JIMÉNEZ,,AGUASCALIENTES - TANQUE DE LOS JIMÉNEZ,-102.34035820000001,21.81701644,907
1084916-999-26,1,4,2022,1,0,5,4,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,26,0,0,0,0,0,0,0,0,0,0,0,0,3,LIBERTAD,LIBERTAD,,-102.2998156,21.88695675,908
1084916-999-260,1,4,2022,1,7,59,30,6,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,34,0,1,0,0,0,0,0,0,0,0,0,1,2,E.C. KM. 119.8 (LEÓN - AGUASCALIENTES) - ARELLANO - EL RETOÑO,,E.C. KM. 119.8 (LEÓN - AGUASCALIENTES) - ARELLANO - EL RETOÑO,-102.26256479999999,21.79801009,909
1084916-999-261,1,4,2022,1,0,20,16,6,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,LOS ARELLANO EL RETOÑO ENTRONQUE 110 - LOS PARGA KILOMETRO 0,PENSIÓN MUNICIPAL - LOS PARGA,,-102.26237009999998,21.81247236,910
1084916-999-262,1,4,2022,1,0,55,23,6,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,FRACCIONAMIENTO OJO CALIENTE - EL CONEJAL,,FRACCIONAMIENTO OJO CALIENTE - EL CONEJAL,-102.22739849999999,21.88343878,911
1084916-999-263,1,4,2022,1,7,55,30,6,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,37,0,0,0,0,0,0,0,0,0,0,0,0,3,JALTOMATE - SAN JOSÉ DE LA ORDEÑA,,JALTOMATE - SAN JOSÉ DE LA ORDEÑA,-102.1330436,21.98397621,912
1084916-999-264,1,4,2022,1,7,20,27,3,1,0,10,1,0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,5,9,24,0,2,0,1,0,0,0,0,0,0,0,3,2,GUADALUPANO,SIGLO XXI,,-102.2569997,21.90699071,913
1084916-999-265,1,4,2022,1,18,25,21,4,1,0,10,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,2,5,9,28,0,0,0,0,0,0,0,0,0,0,0,0,3,SIGLO XXI,EL GIGANTE,,-102.2587965,21.90904391,914
1084916-999-266,1,4,2022,1,18,10,2,6,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,16,0,1,0,0,0,0,0,0,0,0,0,1,2,GILBERTO LÓPEZ VELARDE,JOSÉ MEDINA,,-102.2527634,21.91553163,915
1084916-999-267,1,4,2022,1,21,10,9,6,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,16,0,1,0,0,0,0,0,0,0,0,0,1,2,AGUASCALIENTES PONIENTE,TLAXCALA,,-102.3175071,21.88499771,916
1084916-999-268,1,4,2022,1,14,30,12,2,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,35,0,1,0,0,0,0,0,0,0,0,0,1,2,HÉROE DE NACOZARI NORTE,ALAMEDA,,-102.2822875,21.88263612,917
1084916-999-269,1,4,2022,1,12,35,14,4,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,82,0,1,0,0,0,0,0,0,0,0,0,1,2,AMECA,TENACATITA,,-102.3329484,21.8783608,918
1084916-999-27,1,4,2022,1,8,40,4,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,GABRIELA MISTRAL,AVENIDA DE LA CONVENCIÓN ORIENTE,,-102.279494,21.89799805,919
1084916-999-270,1,4,2022,1,19,45,15,5,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,26,0,1,0,0,0,0,0,0,0,0,0,1,2,AGUASCALIENTES - ZACATECAS,AVENIDA SIGLO XXI,AGUASCALIENTES - ZACATECAS,-102.2907019,21.94465089,920
1084916-999-271,1,4,2022,1,12,40,17,7,1,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,5,9,71,0,1,0,0,0,0,0,0,0,0,0,1,2,FRACCIONAMIENTO OJO CALIENTE - EL CONEJAL,EL ROSARIO,,-102.2368918,21.87739291,921
1084916-999-272,1,4,2022,1,11,53,23,6,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,56,0,1,0,0,0,0,0,0,0,0,0,1,2,AQUILES SERDÁN,OCEANÍA,,-102.3037468,21.8955384,922
